source_id,source_name,catalog,ra_deg,dec_deg,gaia_g_mag,gaia_bp_rp,parallax_mas,parallax_error_mas,x,y,aperture_radius,annulus_inner_radius,annulus_outer_radius,flux_red,flux_green,flux_blue,flux_luminance,flux_error_red,flux_error_green,flux_error_blue,flux_error_luminance,instrumental_mag_red,instrumental_mag_green,instrumental_mag_blue,instrumental_mag_luminance,instrumental_blue_minus_red,calibrated_mag_luminance,absolute_magnitude_proxy,plot_color_index,display_color_hex,snr_red,snr_green,snr_blue,snr_luminance,background_red,background_green,background_blue,background_luminance,is_saturated,used_for_zero_point,flags
3029129765457472768,3029129765457472768,gaia-dr3,115.62185613615,-15.29071740655,9.689692,1.264487,1.3972,0.017100000753998756,2450.0021867033256,1547.6777049905306,5.0,8.0,12.0,1324001.16430359,1305091.4894724456,1150008.1354578154,1259619.4650686402,1705.7790565672228,1575.0889197439762,1596.793495612027,1594.966648936422,-15.304720917537153,-15.289102394090557,-15.151752281692595,-15.250598408068186,0.15296863584455878,10.169798838349124,0.8960917231771699,1.264487,#fffbdd,776.185613961085,828.5827378460529,720.1984092608259,789.7465855531194,402.1738253789954,342.2555349615868,320.3408913302701,355.95216942951083,False,True,Catalog match offset 2.78 arcsec.
3029229649215153792,3029229649215153792,gaia-dr3,115.19057939976,-14.67105731724,9.44444,1.214926,1.9448,0.016899999231100082,941.6512017750719,706.6677342098255,5.0,8.0,12.0,1446399.5486182994,1405505.854806648,1317248.6663432263,1389905.2351645401,1877.543295765052,1725.0753846333319,1672.7691736708762,1712.6555194224313,-15.400720693999727,-15.369581647635105,-15.299169418852108,-15.35746297680771,0.10155127514761908,10.062934269609599,1.5073089987859962,1.214926,#fff8e8,770.3681464394288,814.7503971864923,787.4658901398432,811.549794691501,455.3764132177457,385.5734774877783,350.91679501114413,394.90523918764666,False,True,
3029983914193883648,3029983914193883648,gaia-dr3,115.19383494397,-14.5133887904,9.904342,0.131989,2.1735,0.0215000007301569,579.2541615511391,743.7593446862395,5.0,8.0,12.0,1009586.989612676,1395605.4317289195,1679478.229604491,1361807.9345491275,1159.7516018091515,1429.9603144926696,1841.0560744937159,1462.5878099952652,-15.010359363130126,-15.36190662765906,-15.562935946577108,-15.335289650646462,-0.5525765834469816,10.085107595770847,1.7709058184051258,0.131989,#99d4ff,870.520021733769,975.9749397129677,912.2363261349016,931.0948205930529,301.16015373612754,356.0389855282847,430.3469184343703,359.31887322454713,False,True,
3029614650082320000,3029614650082320000,gaia-dr3,115.74976545858,-14.32578714995,9.542167,0.648738,1.4525,0.013799999840557575,252.2096140937344,2019.498455465017,5.0,8.0,12.0,1352754.4687765583,1532610.8297908104,1656889.4187628794,1514088.4830132981,1630.9230308461172,1802.2384700849616,2023.0816601442782,1799.294020659777,-15.328047443208636,-15.463579725147733,-15.548233811145442,-15.45037813996024,-0.22018636793680635,9.97001910645707,0.7805998117689121,0.648738,#d0ecff,829.4410240039066,850.3929170475202,818.9928520456839,841.4903098817069,381.33228549035266,398.88473677332513,459.2245753237512,413.10165240545757,False,True,
3029120350888945408,3029120350888945408,gaia-dr3,115.36379899645,-15.31186221145,9.204619,1.542616,1.0615,0.014499999582767487,2449.881843557552,970.2380356116682,5.0,8.0,12.0,1667411.3065229296,1491916.723543357,1242394.8783808479,1467718.358590682,2045.3672485301392,1576.6917599199232,1505.3193808298556,1682.7516483096488,-15.555106855178941,-15.434361455437212,-15.235649130997327,-15.416606816326198,0.3194577241816141,10.003790430091112,0.1333904226012006,1.542616,#ffe4be,815.2136530597037,946.2323337182459,825.3363998382441,872.2132942582638,511.1508612264879,366.42699535237625,314.9335489142686,391.42549492185935,False,True,Catalog match offset 2.19 arcsec.
3029231573360477312,3029231573360477312,gaia-dr3,115.30571705926,-14.61167993045,9.940313,0.23446,,,826.3212268847395,974.3881780760748,5.0,8.0,12.0,1106269.960747045,1444915.5686821034,1667386.5159435254,1406185.1595443187,1305.6325499481432,1582.401865037003,1960.160983900267,1606.5350179823529,-15.109652799692023,-15.399606176335636,-15.55509071265335,-15.37010627552511,-0.4454379129613262,10.050290970892199,,0.23446,#a9ddff,847.3057452427819,913.1154358493601,850.6375392830296,875.2906994273592,316.07760494342074,368.6375634279102,440.02865546615794,374.984919372946,False,True,
3029988827636447360,3029988827636447360,gaia-dr3,115.16863009306,-14.40885969182,9.878363,1.231,1.1435,0.01679999940097332,334.0352941869729,707.9044397680046,5.0,8.0,12.0,1316779.8286923387,1314700.1387844442,1175314.9002390457,1268458.2113666604,3384.537430455456,2751.203988810198,2911.55698934861,3116.414204051554,-15.298782912769841,-15.297066771947424,-15.175385605059095,-15.258190410522657,0.12339730771074642,10.162206835894652,0.453387680608488,1.231,#ffffe4,389.0575464887502,477.86356232821805,403.6722978594329,407.0249101411414,457.1273630624637,396.22665050206706,389.992889421992,420.4766263370402,False,True,
3029129353140275328,3029129353140275328,gaia-dr3,115.61905082384,-15.33324308876,10.116003,1.033161,10.6145,0.2084999978542328,2547.2283236353323,1532.9070022800936,5.0,8.0,12.0,1051550.0212795231,1083784.3529857502,1085747.0762586498,1073424.13754646,1264.3308441663087,1267.4798061711128,1342.7058553751845,1281.899285709755,-15.054574841269526,-15.087357191610193,-15.08932167137753,-15.076928392053741,-0.034746830108003834,10.343468854363568,5.472966561261186,1.033161,#f7ffff,831.7047916148152,855.0703117391021,808.6261573315817,837.3701034961824,315.839388363529,304.40760174184106,300.0681446422823,310.2053750085179,False,True,Catalog match offset 2.42 arcsec.
3029233531865555968,3029233531865555968,gaia-dr3,115.2895941252,-14.51088478675,9.16839,1.49043,1.3506,0.01940000057220459,591.4315567542507,957.3493416612292,5.0,8.0,12.0,1707653.647843731,1558400.9238455612,1349259.5366987837,1538616.0083414267,2153.4230813289464,1698.5564220750466,1604.4831744348808,1775.9872007754152,-15.58099947547927,-15.481697992478725,-15.325238740960268,-15.46782561672218,0.2557607345190025,9.952571629695129,0.6052053566159472,1.49043,#ffe9c9,792.9949588865201,917.4855209941958,840.9309353923328,866.3440860776758,549.3621922214516,415.2537802106235,366.31447875872254,441.37747114757076,False,True,
3029207006148017664,3029207006148017664,gaia-dr3,115.33093680376,-14.81318558094,9.881447,1.322931,0.5929,0.023900000378489494,1295.0743809898563,992.2315754951933,5.0,8.0,12.0,1162584.0348070008,1096089.1774672763,971876.3656288476,1077106.4775879374,1395.8780443870169,1250.3116840359935,1159.6462891793633,1243.223814380377,-15.163560886773638,-15.099614724117236,-14.969027552387024,-15.080646594231839,0.19453333438661424,10.33975065218547,-0.7953420960897102,1.322931,#fff0d5,832.8693466323095,876.652751039734,838.0800030987094,866.3817931486194,347.07237125141546,297.829256686382,297.5462409853935,310.88192413328215,False,True,
